Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
980,3952,2,1,1,1977,Rural,Fair,Yes,741419
981,1414,4,2,nan,1981,Downtown,Excellent,Yes,68394
982,1808,2,nan,2,1991,Downtown,Good,no,930425
983,4677,2,3,error_value,1923,Suburban,Fair,yes,226978
984,1013,2,2,3,1907,Rural,fair,No,109332
985,2420,nan,4,1,2005,Downtown,fair,No,218377
986,4094,1,4,3,2017,suburban,Good,no,nan
987,1909,4,error_value,2,nan,Rural,Fair,Yes,857784
988,3690,1,3,1,1952,Suburban,Good,Yes,nan
989,4991,1,nan,2,1971,Urban,Poor,Yes,919403
990,2055,1,1,2,1903,Rural,fair,No,101993
991,nan,2,3,1,1990,Downtown,Poor,Yes,220458
992,nan,5,error_value,2,1999,Downtown,Excellent,Yes,939459
993,4077,2,2,1,error_value,Urban,Fair,No,500281
994,3401,nan,4,2,nan,rural,Excellent,No,956644
995,1887,1,3,1,1948,Suburban,Excellent,yes,528720
996,3261,2,error_value,3,1997,downtown,Excellent,No,556357
997,3179,1,4,2,1929,Urban,poor,Yes,nan
998,2606,5,3,1,1971,urban,Good,No,182335
999,4723,4,3,2,2002,Rural,Poor,no,456521
1000,3268,1,2,2,1962,rural,Poor,yes,890249
1001,4453,error_value,1,2,1946,Downtown,excellent,No,991902
1002,3686,4,1,1,nan,Urban,Fair,No,290310
1003,3780,3,4,3,1956,Suburban,Good,No,256873
1004,3073,nan,3,3,1936,Urban,excellent,yes,361251
1005,3099,nan,2,nan,1997,Suburban,Good,no,999656
1006,4533,nan,2,1,nan,suburban,poor,No,536476
1007,nan,3,2,3,nan,Downtown,Good,Yes,998128
1008,1804,1,2,1,1991,Urban,Good,yes,965672
1009,error_value,3,2,2,1938,suburban,Fair,no,411799
1010,nan,2,1,2,1961,Rural,Excellent,No,630420
1011,3041,nan,1,3,2002,Suburban,Good,No,962133
1012,2551,4,1,1,nan,Rural,Good,Yes,error_value
1013,941,4,3,2,1977,Rural,Poor,No,889411
1014,2576,2,4,1,1952,Urban,Poor,Yes,894445
1015,3680,3,2,1,2013,Rural,Good,yes,error_value
1016,3157,5,3,2,2001,Suburban,Excellent,No,nan
1017,4298,3,2,1,nan,Rural,Good,No,101798
1018,1304,1,1,error_value,2005,Urban,good,Yes,722010
1019,nan,nan,3,2,1981,downtown,fair,No,469230
1020,2675,3,1,2,2007,Suburban,excellent,No,650709
1021,nan,5,2,1,2011,Suburban,Fair,Yes,319578
1022,2589,1,2,2,1924,Urban,Excellent,No,866460
1023,540,2,4,error_value,1906,Urban,Excellent,Yes,640846
1024,2581,2,2,2,2001,Urban,Excellent,No,860763
1025,error_value,5,1,2,1927,urban,Fair,Yes,117573
1026,841,1,2,3,1968,Suburban,fair,Yes,703761
1027,4552,4,4,3,1966,Downtown,Fair,No,517508
1028,2574,3,4,3,2007,rural,Poor,Yes,227398
1029,1145,error_value,1,1,1994,rural,Fair,Yes,395123
1030,4763,2,3,1,nan,Downtown,poor,No,840555
1031,1109,5,nan,2,2005,Downtown,poor,No,328747
1032,954,5,4,2,2021,Downtown,poor,No,378085
1033,3453,nan,2,nan,1919,urban,Good,Yes,92597
1034,2208,5,2,2,1982,Suburban,Good,Yes,768598
1035,3972,5,3,1,2011,Suburban,good,yes,920670
1036,error_value,1,nan,error_value,2023,Suburban,Poor,No,nan
1037,3528,4,2,2,1910,Urban,Poor,yes,nan
1038,3181,nan,4,3,nan,Suburban,excellent,Yes,353895
1039,nan,1,1,2,1966,Urban,poor,No,962894
1040,4725,error_value,1,2,1986,Suburban,good,yes,nan
1041,3567,1,2,2,1906,Downtown,Poor,No,329837
1042,1886,error_value,4,1,1922,rural,Poor,No,532757
1043,4276,5,nan,3,1960,Rural,excellent,No,nan
1044,3366,4,4,2,1970,Urban,Poor,Yes,406668
1045,3863,3,4,2,2009,suburban,Fair,Yes,410013
1046,4624,3,error_value,nan,error_value,Rural,Excellent,Yes,735352
1047,648,4,3,nan,2005,Downtown,Poor,No,375969
1048,4350,5,3,1,1918,downtown,Poor,No,714882
1049,2558,2,2,2,1957,Downtown,Excellent,No,442619
1050,1636,1,3,1,1908,urban,poor,yes,881838
1051,686,5,3,nan,1947,Urban,Good,Yes,288078
1052,3354,4,1,2,2014,Suburban,Fair,Yes,nan
1053,1750,1,nan,3,1981,Downtown,Fair,yes,717481
1054,1833,3,4,nan,1940,Suburban,Good,Yes,697659
1055,4693,2,3,3,1947,Suburban,Poor,No,457435
1056,4650,error_value,4,error_value,1944,downtown,Poor,Yes,838049
1057,error_value,4,1,1,2005,Suburban,fair,no,93016
1058,2285,1,1,2,1924,rural,poor,No,493888
1059,1250,4,3,3,2015,Urban,fair,yes,336420
1060,2262,1,1,2,1977,suburban,Fair,No,805247
1061,4420,5,4,2,2007,Downtown,Good,Yes,nan
1062,nan,2,2,1,1924,Urban,fair,Yes,942724
1063,981,5,4,2,1918,Urban,poor,No,236807
1064,653,5,error_value,2,1938,Suburban,Poor,Yes,592247
1065,2024,4,error_value,2,2018,Rural,Excellent,Yes,602810
1066,2620,2,2,1,1978,Suburban,Poor,no,499303
1067,2843,1,1,3,1979,Rural,excellent,no,nan
1068,1740,1,4,3,1926,Urban,Fair,no,76567
1069,error_value,nan,2,2,nan,Suburban,Poor,no,503739
1070,1438,1,4,1,1973,downtown,Good,no,error_value
1071,2139,4,nan,2,error_value,Suburban,Good,No,176206
1072,4620,5,3,3,1967,Rural,Good,yes,596848
1073,4726,5,1,1,2014,Rural,Fair,Yes,nan
1074,4069,5,3,3,1918,Suburban,fair,Yes,700060
1075,1752,2,2,3,1927,Rural,Excellent,no,511365
1076,4703,nan,3,1,1984,urban,Good,yes,357248
1077,671,4,1,error_value,error_value,Suburban,Excellent,No,632093
1078,1958,2,4,error_value,2010,rural,Excellent,Yes,286109
1079,nan,error_value,error_value,2,1977,suburban,Poor,No,545951
1080,4697,nan,3,nan,error_value,Suburban,Poor,Yes,336640
1081,2822,4,2,1,2011,downtown,Good,no,788661
1082,2136,4,1,1,1909,Suburban,fair,no,141257
1083,nan,5,2,2,1982,Downtown,Poor,No,53515
1084,4590,nan,1,3,nan,rural,fair,no,nan
1085,3504,1,3,3,1921,downtown,Excellent,yes,287145
1086,nan,4,1,2,1902,downtown,Excellent,Yes,nan
1087,4140,error_value,1,1,nan,downtown,Excellent,no,910352
1088,4394,4,3,2,error_value,Urban,Excellent,No,325871
1089,4607,3,2,2,1981,Downtown,good,No,702664
1090,1841,3,3,2,1974,Suburban,excellent,yes,nan
1091,4163,5,nan,2,1947,Downtown,Poor,No,nan
1092,715,1,3,1,1901,suburban,Excellent,No,698852
1093,838,1,1,2,1975,downtown,fair,yes,278497
1094,4562,nan,3,1,1953,urban,Poor,no,691501
1095,3208,error_value,4,2,error_value,Rural,fair,No,755339
1096,3652,4,4,3,2006,downtown,fair,Yes,599753
1097,nan,5,3,1,2022,downtown,good,No,234972
1098,error_value,2,2,3,error_value,urban,Good,No,nan
1099,1209,error_value,1,2,2007,Downtown,Fair,yes,560237
1100,4226,5,4,nan,nan,Suburban,Fair,No,670417
1101,nan,2,2,2,nan,downtown,Excellent,yes,464546
1102,4493,1,nan,1,1993,Downtown,Poor,no,713662
1103,988,4,4,3,1901,Rural,excellent,no,419432
1104,546,2,4,1,1972,Rural,Good,no,293761
1105,3859,3,3,nan,2010,downtown,Good,No,292821
1106,error_value,1,1,nan,1901,Urban,excellent,No,nan
1107,4490,nan,2,3,1992,rural,Poor,Yes,601507
1108,3657,1,2,error_value,1996,Downtown,Fair,no,error_value
1109,4845,4,2,1,1973,Rural,Excellent,No,785901
1110,error_value,4,1,error_value,1997,Downtown,Good,yes,485485
1111,4353,5,2,3,nan,rural,Poor,Yes,391925
1112,4930,error_value,2,2,1954,Rural,Good,No,56457
1113,1128,1,2,nan,1971,Suburban,Poor,yes,974253
1114,nan,error_value,3,3,2000,downtown,poor,No,nan
1115,3430,2,error_value,nan,2017,Downtown,Poor,yes,977325
1116,2021,4,1,1,1959,downtown,Excellent,Yes,689544
1117,1326,error_value,1,2,1996,Downtown,Excellent,No,934729
1118,2000,1,2,error_value,2010,Rural,Excellent,Yes,808947
1119,nan,4,error_value,nan,1905,Suburban,Poor,No,259727
1120,2919,nan,4,2,2007,suburban,poor,Yes,nan
1121,nan,1,4,1,error_value,Urban,good,Yes,210353
1122,3542,4,2,1,nan,Downtown,Fair,Yes,832351
1123,4997,2,2,2,1918,Urban,excellent,No,286887
1124,nan,4,error_value,2,1995,Rural,Poor,No,475037
1125,nan,3,3,2,1926,Urban,Good,Yes,809129
1126,1114,5,3,nan,nan,Downtown,good,no,992151
1127,1682,2,1,error_value,2006,Suburban,good,No,644206
1128,3723,3,1,1,2015,suburban,Excellent,No,263057
1129,3167,1,2,3,1932,Downtown,excellent,Yes,526015
1130,630,2,1,2,1939,rural,Fair,No,926611
1131,nan,5,3,3,1931,Downtown,Good,yes,nan
1132,nan,5,3,2,1968,Rural,Excellent,yes,139142
1133,4959,1,1,2,nan,Suburban,good,Yes,77603
1134,538,1,4,3,1907,rural,Poor,Yes,882890
1135,error_value,2,nan,2,1956,Downtown,Good,Yes,120605
1136,4087,nan,4,3,1941,downtown,Fair,no,331767
1137,1420,nan,2,2,1997,downtown,excellent,No,618728
1138,3269,error_value,4,1,1908,Rural,Poor,yes,918859
1139,4611,3,1,1,error_value,Rural,Excellent,No,975208
1140,nan,5,nan,2,1986,Rural,Poor,No,405970
1141,1631,4,nan,2,1934,suburban,Good,no,339604
1142,4021,5,error_value,3,2013,Urban,Good,No,264117
1143,810,nan,3,1,error_value,Urban,Fair,No,788165
1144,1238,3,3,3,1978,downtown,Fair,No,516727
1145,3741,1,4,2,1952,Suburban,poor,No,160373
1146,1045,3,1,2,1953,rural,Fair,yes,nan
1147,2961,1,3,3,1983,Downtown,fair,yes,error_value
1148,4846,error_value,2,2,2013,Suburban,fair,yes,68909
1149,2304,5,3,1,1924,Downtown,Fair,No,321261
1150,3712,3,1,3,1966,Suburban,Good,no,299975
1151,4310,4,3,1,nan,Suburban,Fair,Yes,903906
1152,1313,3,2,1,1961,Urban,Good,No,668214
1153,4624,5,4,1,1954,Downtown,good,no,487538
1154,2532,1,2,3,1945,Rural,excellent,Yes,nan
1155,4913,5,nan,2,1923,Urban,Good,Yes,nan
1156,744,2,4,1,1997,urban,Good,Yes,856560
1157,771,2,3,1,1945,Rural,Fair,No,301981
1158,4011,4,nan,1,1921,Suburban,good,No,540533
1159,2271,5,nan,2,1910,Rural,Poor,No,381145
1160,1762,nan,4,nan,1947,downtown,Fair,yes,836872
1161,2924,4,2,3,1907,Rural,fair,Yes,nan
1162,4861,2,4,nan,1938,Suburban,Fair,no,697779
1163,1420,4,4,3,nan,Rural,excellent,Yes,error_value
1164,3930,2,nan,3,1934,suburban,fair,yes,547275
1165,4935,1,4,3,1948,Suburban,good,No,200619
1166,4984,5,3,3,nan,Downtown,Poor,Yes,655950
1167,3124,4,2,3,1937,Rural,Fair,Yes,810416
1168,nan,2,2,1,1907,Rural,Fair,Yes,50005
1169,2550,nan,2,2,1953,Downtown,Poor,No,284152
1170,nan,4,3,nan,nan,suburban,Fair,No,319182
1171,1665,1,3,nan,1990,Rural,excellent,Yes,error_value
1172,875,1,3,2,1991,Downtown,good,No,nan
1173,2533,3,3,1,1939,Suburban,Poor,no,905938
1174,645,2,3,1,1933,downtown,Poor,no,nan
1175,4888,4,4,nan,1995,Rural,Excellent,Yes,445822
1176,931,2,3,1,1978,Downtown,Good,No,852914
1177,1204,1,3,nan,2007,Urban,Excellent,yes,804189
1178,3132,error_value,3,1,1916,Suburban,Good,yes,252945
1179,4994,1,3,1,1932,urban,Excellent,No,608236
1180,1463,2,2,1,1946,Urban,fair,Yes,402131
1181,2734,nan,3,3,2009,suburban,Excellent,No,272873
1182,2541,5,4,3,1951,Suburban,Poor,No,272322
1183,2328,3,4,1,2017,downtown,Poor,yes,70875
1184,2608,3,4,3,1979,Suburban,Poor,yes,325201
1185,4568,error_value,1,3,1992,Urban,Excellent,No,82400
1186,1438,5,2,2,1908,Urban,Poor,no,514674
1187,error_value,4,3,1,error_value,rural,Poor,No,nan
1188,1963,4,1,nan,1959,suburban,fair,No,923993
1189,3915,error_value,nan,3,2012,urban,Fair,yes,nan
1190,510,3,1,1,1992,rural,good,yes,466981
1191,2368,1,1,2,1976,rural,Good,Yes,151096
1192,error_value,1,4,1,1920,Downtown,Good,No,620900
1193,4064,4,4,2,1957,Urban,Excellent,yes,934750
1194,1889,4,1,1,1984,Downtown,Good,yes,311538
1195,3901,1,4,1,1968,Urban,Excellent,yes,134335
1196,4821,1,error_value,1,error_value,downtown,Excellent,yes,413133
1197,1324,2,2,1,1905,Downtown,Good,no,667300
1198,2765,2,4,error_value,2019,Suburban,Good,Yes,131748
1199,1436,1,4,2,2014,Downtown,Excellent,Yes,976932
1200,3300,2,4,3,2020,Suburban,Fair,Yes,736779
1201,3053,5,2,1,1912,Rural,poor,yes,115195
1202,nan,4,nan,error_value,1964,urban,Poor,No,779055
1203,2296,4,3,2,1919,Rural,Poor,no,error_value
1204,nan,1,4,2,error_value,Urban,fair,yes,676692
1205,1226,3,1,1,nan,Rural,Excellent,No,351286
1206,3236,1,2,3,1945,Urban,good,no,error_value
1207,nan,2,3,2,1907,downtown,excellent,No,121540
1208,2413,3,4,1,1909,Urban,Excellent,no,nan
1209,2096,2,2,2,1972,urban,Good,Yes,389092
1210,2414,5,2,nan,2012,Rural,fair,No,895383
1211,2966,2,nan,nan,error_value,rural,Poor,No,61755
1212,3237,5,1,2,1966,rural,Poor,yes,827203
1213,nan,5,4,2,1910,Suburban,Excellent,Yes,nan
1214,2609,2,4,1,1911,Suburban,Fair,Yes,658841
1215,502,2,1,1,1909,urban,Poor,Yes,184962
1216,4755,5,1,3,1924,Urban,Fair,No,930808
1217,nan,3,1,1,nan,downtown,Good,Yes,306760
1218,1392,5,3,1,1948,Downtown,excellent,No,67175
1219,2530,4,3,nan,1988,urban,excellent,no,902119
1220,3660,nan,4,2,1910,suburban,Fair,Yes,nan
1221,nan,3,3,3,nan,Urban,Poor,Yes,531503
1222,nan,4,2,1,2017,Downtown,Fair,No,error_value
1223,1880,1,4,nan,nan,Suburban,Good,No,729648
1224,nan,1,3,2,1938,Suburban,Poor,yes,96629
1225,1790,3,1,3,1952,downtown,poor,Yes,691067
1226,2140,5,2,1,1989,Urban,Fair,Yes,228872
1227,3182,2,1,nan,1977,Rural,good,No,742727
1228,1487,3,4,error_value,nan,Urban,Poor,no,520970
1229,1718,nan,1,2,error_value,Urban,Excellent,yes,380657
1230,1855,4,3,3,nan,downtown,Good,no,657050
1231,4765,1,3,error_value,1900,Suburban,poor,Yes,210094
1232,4635,error_value,4,2,1955,Downtown,fair,No,774689
1233,2060,3,1,3,2017,Urban,Poor,No,error_value
1234,1918,4,4,2,1903,Rural,excellent,yes,107941
1235,1454,3,nan,1,1929,Rural,Good,Yes,355617
1236,1483,2,2,3,nan,Rural,Poor,yes,nan
1237,1474,1,3,2,2019,Downtown,Excellent,no,nan
1238,4633,4,4,1,1934,suburban,Poor,No,119806
1239,4472,3,2,3,nan,downtown,Poor,yes,718646
1240,nan,5,2,1,error_value,Rural,good,no,250211
1241,536,1,4,nan,1930,Urban,fair,yes,nan
1242,3887,2,4,error_value,2001,Suburban,fair,No,105916
1243,nan,3,error_value,2,2006,Downtown,Excellent,yes,722960
1244,3520,2,1,3,1986,Downtown,Excellent,no,445507
1245,1295,2,2,3,1967,Suburban,excellent,no,456339
1246,4536,4,4,2,1951,Suburban,good,No,error_value
1247,3611,4,2,3,1979,urban,fair,No,605564
1248,1824,3,1,1,1906,Suburban,Excellent,yes,235217
1249,817,5,3,nan,1921,Urban,Excellent,no,917481
1250,2896,3,3,2,error_value,Rural,poor,Yes,251750
1251,2662,5,2,1,1974,Rural,Poor,Yes,269854
1252,3245,2,1,2,1955,Downtown,Excellent,Yes,796403
1253,2091,1,3,1,1996,Rural,Poor,yes,994218
1254,3611,3,2,1,1957,Rural,Poor,No,761045
1255,4430,3,2,3,1992,Urban,Poor,Yes,nan
1256,2496,5,1,nan,nan,Downtown,Good,No,385206
1257,1812,2,nan,2,nan,suburban,Excellent,no,200434
1258,error_value,2,2,3,2002,Downtown,Excellent,No,nan
1259,4811,5,4,2,1911,Rural,Poor,no,620569
1260,2883,nan,4,1,1906,Suburban,Good,yes,881284
1261,3739,4,3,2,2022,Downtown,Poor,No,836408
1262,2639,1,4,2,nan,downtown,Good,Yes,error_value
1263,2204,3,1,1,2002,Downtown,Excellent,No,554869
1264,862,1,3,3,2005,downtown,Poor,no,753196
1265,3104,nan,3,error_value,1961,Urban,Excellent,Yes,578883
1266,2216,4,3,1,2011,downtown,good,No,670218
1267,4951,2,2,3,error_value,Rural,Fair,no,196474
1268,4786,5,2,3,2003,Rural,Good,no,311745
1269,nan,error_value,4,3,1972,urban,Fair,No,770643
1270,2969,1,3,2,2004,Suburban,Excellent,No,404820
1271,1056,5,3,2,1997,suburban,Excellent,Yes,nan
1272,1325,2,1,2,2008,rural,poor,No,nan
1273,nan,4,error_value,3,1976,rural,Fair,No,752124
1274,3219,5,1,2,error_value,Urban,Good,Yes,468127
1275,4008,4,nan,nan,2018,suburban,Excellent,No,796648
1276,nan,4,error_value,2,1935,Suburban,Fair,Yes,855837
1277,2074,nan,2,2,1988,Downtown,Good,No,108122
1278,4498,3,nan,3,nan,Downtown,fair,no,804849
1279,2629,5,1,2,1943,Downtown,good,Yes,282661
1280,2903,2,nan,1,1916,Urban,Good,No,703197
1281,3829,4,3,3,1901,Rural,good,No,315591
1282,1088,2,nan,1,1912,Urban,Good,Yes,234215
1283,2512,3,3,nan,1930,suburban,fair,Yes,60662
1284,2047,5,1,3,1992,Rural,Fair,no,error_value
1285,794,3,2,2,2013,Downtown,Poor,Yes,nan
1286,2485,1,nan,nan,1927,Urban,fair,No,448115
1287,3617,5,nan,3,1959,Urban,Fair,Yes,865014
1288,2190,3,1,2,1926,Downtown,poor,No,641759
1289,1636,4,4,3,1914,Urban,Fair,Yes,error_value
1290,2564,5,2,nan,error_value,downtown,Good,Yes,223285
1291,4955,5,1,3,2003,Suburban,excellent,Yes,681866
1292,1507,2,2,3,1978,Rural,excellent,yes,912303
1293,3014,nan,1,3,1932,Suburban,Poor,Yes,657493
1294,4026,1,2,3,1919,suburban,Fair,Yes,910513
1295,1747,3,3,2,1941,downtown,Fair,Yes,942215
1296,nan,2,3,3,1911,Urban,Poor,Yes,nan
1297,1935,3,4,1,2000,Suburban,excellent,Yes,133805
1298,nan,error_value,3,2,nan,Suburban,Good,no,174698
1299,2882,nan,2,1,1922,Suburban,Fair,yes,218902
1300,1745,5,2,3,1971,Urban,Poor,No,974570
1301,2584,1,3,1,1995,Urban,good,Yes,60712
1302,777,3,4,3,2011,Downtown,Poor,no,393671
1303,2387,4,3,3,1913,Suburban,Poor,No,965885
1304,nan,4,1,2,1990,Rural,Poor,Yes,nan
1305,1540,5,error_value,2,1924,Urban,Excellent,yes,nan
1306,1417,3,nan,3,1976,downtown,Excellent,No,nan
1307,1385,3,3,2,2018,Suburban,poor,no,246437
1308,nan,1,3,1,1984,Rural,Fair,yes,661473
1309,521,3,3,2,2008,Urban,good,yes,411995
1310,nan,2,nan,2,nan,Rural,Fair,Yes,474022
1311,2853,1,4,1,2000,Urban,Excellent,No,586498
1312,1186,2,2,2,2011,Downtown,Good,yes,86972
1313,784,5,3,3,2021,rural,Poor,Yes,811254
1314,4247,4,4,1,2006,Suburban,Fair,Yes,346280
1315,1262,5,nan,3,1953,suburban,fair,Yes,487513
1316,2928,4,2,1,1904,urban,Poor,Yes,952877
1317,3007,5,2,3,1912,Suburban,Fair,No,852377
1318,528,3,4,3,1927,Rural,Excellent,no,800561
1319,1406,2,4,2,1942,downtown,poor,Yes,391324
1320,nan,4,1,3,1988,urban,Fair,Yes,382597
1321,4499,1,4,2,2014,Rural,poor,no,921836
1322,3494,2,error_value,error_value,1998,Urban,Good,Yes,nan
1323,3006,1,4,3,1946,Downtown,Poor,No,53052
1324,4109,2,nan,3,2002,urban,fair,Yes,339416
1325,nan,2,3,error_value,error_value,Suburban,Excellent,no,353294
1326,1953,5,1,1,1937,Suburban,Poor,No,801564
1327,3856,4,nan,3,1995,urban,Poor,Yes,error_value
1328,1015,4,3,1,1966,Downtown,Fair,no,496605
1329,nan,2,4,2,1961,Downtown,excellent,yes,712600
1330,3842,3,1,1,2008,Suburban,Excellent,No,933527
1331,1386,3,3,1,nan,downtown,good,yes,380918
1332,nan,1,3,3,1936,Urban,good,Yes,nan
1333,2704,1,1,nan,2018,rural,fair,Yes,443781
1334,1598,5,4,1,2013,urban,Excellent,No,66375
1335,2323,2,3,2,1985,Suburban,Excellent,Yes,599998
1336,3701,1,2,2,error_value,Suburban,Good,Yes,755255
1337,3655,1,3,2,1980,Suburban,Good,yes,828912
1338,3593,nan,2,3,1951,Downtown,Fair,no,720534
1339,4030,5,4,1,1990,Urban,excellent,yes,419170
1340,4278,1,3,3,1932,Rural,Poor,No,nan
1341,3396,5,1,1,2009,Urban,Good,No,77597
1342,3953,4,nan,1,1980,Rural,Fair,No,386433
1343,4011,5,3,3,1941,Urban,Excellent,Yes,481613
1344,1488,nan,4,2,error_value,Suburban,Excellent,Yes,135687
1345,4616,3,4,2,2011,rural,Good,No,168968
1346,4526,5,1,1,2009,Urban,Fair,Yes,614562
1347,4679,nan,3,3,1926,Downtown,poor,Yes,517453
1348,2182,error_value,4,2,2011,Downtown,Good,no,253570
1349,4463,2,1,2,1907,Urban,Fair,no,481413
1350,1433,3,2,error_value,1922,suburban,Excellent,Yes,622922
1351,4098,3,3,1,2023,Rural,Poor,No,866473
1352,3733,error_value,2,nan,2005,Urban,Fair,Yes,974752
1353,2480,4,2,1,2012,downtown,Poor,No,397509
1354,error_value,2,4,2,1963,Rural,fair,Yes,969707
1355,3556,5,4,2,2022,Downtown,fair,Yes,888418
1356,1292,5,4,2,1992,downtown,Fair,No,861802
1357,1291,4,error_value,2,2013,Urban,Fair,yes,347391
1358,2309,nan,2,3,1919,downtown,Poor,Yes,960835
1359,nan,4,3,3,1915,Rural,Good,no,431688
1360,4110,2,4,1,nan,suburban,Poor,yes,256994
1361,2107,4,2,1,1979,Urban,Fair,yes,nan
1362,1484,5,3,error_value,nan,Rural,Poor,Yes,443650
1363,4176,error_value,3,3,2019,Urban,Poor,No,637270
1364,3880,1,nan,2,2019,Downtown,Poor,No,901612
1365,1019,nan,3,1,nan,Downtown,Fair,no,682822
1366,1090,4,4,2,1937,Rural,Poor,no,739834
1367,1550,1,3,1,1937,Rural,excellent,no,336788
1368,nan,3,2,1,error_value,Suburban,Fair,Yes,612781
1369,error_value,4,3,1,nan,rural,Poor,yes,395968
1370,1459,2,1,1,2004,rural,Excellent,Yes,564922
1371,1192,3,2,1,1999,Urban,Poor,No,971463
1372,4399,5,2,nan,1989,Downtown,Good,Yes,883721
1373,4973,1,1,1,1930,rural,poor,No,nan
1374,3446,3,4,2,1943,Suburban,Poor,Yes,482809
1375,1026,nan,2,3,1959,Rural,Good,no,482331
1376,3724,error_value,4,1,1975,downtown,Fair,Yes,816505
1377,2753,4,2,2,2018,Rural,Good,Yes,nan
1378,3844,2,2,3,1916,Urban,Fair,No,347625
1379,4465,5,4,3,1978,downtown,Good,Yes,276577
1380,2375,error_value,nan,3,nan,Rural,Poor,yes,651385
1381,2263,4,4,2,1938,Urban,poor,No,859010
1382,1020,nan,1,1,1941,downtown,Fair,yes,980291
1383,1516,2,4,1,1947,rural,fair,Yes,384192
1384,616,1,1,2,1911,Urban,Excellent,no,564771
1385,2933,nan,2,1,1995,Suburban,excellent,no,233951
1386,1083,5,4,2,1988,Urban,Poor,no,nan
1387,894,4,error_value,1,2002,Suburban,Poor,no,503885
1388,4288,5,4,3,1917,Rural,Excellent,No,463146
1389,error_value,5,1,error_value,1978,Urban,Excellent,Yes,229022
1390,4667,5,error_value,error_value,1995,Suburban,Fair,No,932169
1391,4360,1,4,2,1905,Downtown,Good,No,330831
1392,773,1,nan,3,2021,urban,Fair,Yes,496049
1393,2513,5,2,2,2007,rural,excellent,yes,172540
1394,4933,1,2,1,1942,Downtown,Poor,Yes,741349
1395,1889,nan,3,1,2015,Suburban,Excellent,Yes,866615
1396,nan,5,1,3,1934,Urban,Poor,Yes,332902
1397,665,1,2,2,error_value,Urban,Poor,no,706442
1398,2067,nan,4,3,2001,Rural,Poor,Yes,812301
1399,1228,5,1,error_value,2019,Downtown,Poor,no,670656
1400,2543,5,2,3,1953,Urban,good,Yes,620179
1401,4697,4,1,2,2020,Urban,Excellent,No,96901
1402,3996,3,nan,3,1961,Downtown,Fair,yes,error_value
1403,1278,3,error_value,2,nan,Urban,Poor,no,416056
1404,713,4,nan,2,1981,Downtown,Poor,No,nan
1405,4262,4,3,1,1915,Downtown,Fair,no,539838
1406,2076,4,1,1,1907,Downtown,Fair,no,726923
1407,2948,3,4,1,1988,rural,poor,no,error_value
1408,3436,4,2,2,1995,downtown,Fair,no,445991
1409,3617,1,4,3,1989,Downtown,Fair,No,983332
1410,1091,nan,2,2,2015,Suburban,good,No,553528
1411,3220,5,1,1,1985,suburban,fair,No,569149
1412,nan,2,2,nan,1930,rural,Excellent,No,854406
1413,1435,2,nan,3,2006,downtown,Excellent,Yes,727748
1414,4837,5,4,1,1909,Suburban,Excellent,No,654879
1415,error_value,1,1,1,error_value,suburban,Poor,No,302990
1416,3348,3,4,1,2020,Urban,Excellent,Yes,330759
1417,4544,nan,2,3,1975,downtown,good,No,72838
1418,2449,1,1,2,2016,Suburban,Excellent,no,352872
1419,1417,3,error_value,nan,1991,rural,Poor,Yes,690537
1420,3674,4,nan,3,1969,Urban,Good,Yes,652288
1421,2741,5,1,1,2022,urban,Excellent,no,364942
1422,589,5,2,3,error_value,downtown,Good,Yes,515992
1423,2209,1,4,1,1904,Downtown,Good,No,987126
1424,2669,3,4,3,1922,urban,poor,no,194608
1425,nan,error_value,3,1,1908,rural,poor,No,186772
1426,3541,nan,4,2,1957,Downtown,Good,Yes,nan
1427,605,3,2,1,1958,Downtown,excellent,No,846680
1428,1386,2,1,nan,nan,urban,Poor,no,95291
1429,error_value,1,3,1,1979,Urban,Good,Yes,919061
1430,2395,1,nan,2,1953,downtown,Fair,No,265963
1431,816,3,4,1,1945,Suburban,fair,no,175612
1432,nan,2,4,3,1921,downtown,Poor,No,591465
1433,2425,1,2,3,1963,Suburban,Excellent,No,462699
1434,2556,1,3,nan,1907,Urban,Fair,No,93815
1435,3644,4,2,3,2022,Suburban,Fair,no,874965
1436,2770,4,3,1,1919,Rural,Fair,Yes,836458
1437,nan,1,error_value,nan,nan,Urban,Excellent,No,nan
1438,1052,3,2,1,1977,Downtown,Excellent,No,110611
1439,nan,error_value,2,nan,error_value,Downtown,Poor,yes,661530
1440,4411,5,1,1,1936,Urban,poor,No,467876
1441,2213,1,3,1,1949,urban,Fair,No,error_value
1442,3889,1,nan,1,nan,Rural,Excellent,Yes,error_value
1443,nan,1,1,2,1974,urban,good,Yes,nan
1444,4706,nan,4,3,2017,downtown,Fair,Yes,197330
1445,750,4,4,3,2003,Rural,poor,Yes,677901
1446,2930,1,1,3,1932,downtown,Excellent,yes,934747
1447,2554,1,3,2,1930,Suburban,poor,Yes,926122
1448,error_value,nan,error_value,3,2022,Urban,Poor,Yes,145220
1449,707,3,1,2,1953,suburban,Excellent,No,589677
1450,1399,nan,error_value,2,1943,Downtown,Fair,no,141860
1451,3961,error_value,2,3,1933,suburban,excellent,No,733045
1452,3885,5,2,1,nan,Suburban,Fair,Yes,502436
1453,521,1,1,1,1970,downtown,poor,No,994699
